DATE,CORESTICKM159SFRBATL
1968-01-01,55.193745372
1969-01-01,76.321965378
1970-01-01,84.488770363
1971-01-01,61.209840310
1972-01-01,42.657246220
1973-01-01,43.240922463
1974-01-01,105.669437981
1975-01-01,119.136736138
1976-01-01,84.304471118
1977-01-01,80.346973906
1978-01-01,96.854673577
1979-01-01,126.929408112
1980-01-01,166.175105381
1981-01-01,129.024653187
1982-01-01,91.642544146
1983-01-01,41.564763605
1984-01-01,57.812599715
1985-01-01,58.999831704
1986-01-01,59.850003992
1987-01-01,51.964656039
1988-01-01,54.908695741
1989-01-01,57.235850043
1990-01-01,65.245351258
1991-01-01,59.120930978
1992-01-01,45.233328330
1993-01-01,41.914339955
1994-01-01,39.125369074
1995-01-01,39.630738548
1996-01-01,36.990386515
1997-01-01,32.918788674
1998-01-01,31.217066307
1999-01-01,26.029049
2000-01-01,32.114449
2001-01-01,38.685093
2002-01-01,38.703612
2003-01-01,27.845991
2004-01-01,26.524731
2005-01-01,27.681852
2006-01-01,35.055345
2007-01-01,33.058415
2008-01-01,33.983580
2009-01-01,23.687689
2010-01-01,10.0111564
2011-01-01,17.5198732
2012-01-01,26.031271
2013-01-01,23.313173
2014-01-01,23.697901
2015-01-01,25.888323
2016-01-01,30.703002
2017-01-01,26.943054
2018-01-01,28.996454
2019-01-01,30.255697
2020-01-01,25.904416
2021-01-01,28.643545
2022-01-01,64.995100
2023-01-01,66.893026
2024-01-01,.
