DATE,CPIAUCSL_NBD19470101,PPIACO_NBD19470101
1913-01-01,.,49.38776
1913-02-01,.,48.97959
1913-03-01,.,48.97959
1913-04-01,.,48.97959
1913-05-01,.,48.57143
1913-06-01,.,48.57143
1913-07-01,.,48.97959
1913-08-01,.,48.97959
1913-09-01,.,49.79592
1913-10-01,.,49.79592
1913-11-01,.,49.38776
1913-12-01,.,48.57143
1914-01-01,.,48.16327
1914-02-01,.,48.16327
1914-03-01,.,47.75510
1914-04-01,.,47.75510
1914-05-01,.,47.34694
1914-06-01,.,47.34694
1914-07-01,.,47.34694
1914-08-01,.,48.97959
1914-09-01,.,49.38776
1914-10-01,.,47.75510
1914-11-01,.,47.75510
1914-12-01,.,47.34694
1915-01-01,.,48.16327
1915-02-01,.,48.16327
1915-03-01,.,48.16327
1915-04-01,.,48.16327
1915-05-01,.,48.57143
1915-06-01,.,48.16327
1915-07-01,.,48.57143
1915-08-01,.,48.16327
1915-09-01,.,48.16327
1915-10-01,.,49.38776
1915-11-01,.,50.20408
1915-12-01,.,52.24490
1916-01-01,.,54.28571
1916-02-01,.,55.10204
1916-03-01,.,56.73469
1916-04-01,.,57.55102
1916-05-01,.,57.95918
1916-06-01,.,58.36735
1916-07-01,.,58.77551
1916-08-01,.,60.00000
1916-09-01,.,61.22449
1916-10-01,.,64.08163
1916-11-01,.,68.57143
1916-12-01,.,69.79592
1917-01-01,.,71.83673
1917-02-01,.,73.46939
1917-03-01,.,75.51020
1917-04-01,.,80.40816
1917-05-01,.,84.89796
1917-06-01,.,85.71429
1917-07-01,.,86.53061
1917-08-01,.,87.75510
1917-09-01,.,86.93878
1917-10-01,.,86.12245
1917-11-01,.,86.53061
1917-12-01,.,86.53061
1918-01-01,.,88.16327
1918-02-01,.,86.12245
1918-03-01,.,88.97959
1918-04-01,.,90.20408
1918-05-01,.,90.20408
1918-06-01,.,90.61224
1918-07-01,.,92.65306
1918-08-01,.,94.69388
1918-09-01,.,96.73469
