DATE,CORESTICKM159SFRBATL_NBD19680101,PPIACO_NBD19680101
1913-01-01,.,35.79882
1913-02-01,.,35.50296
1913-03-01,.,35.50296
1913-04-01,.,35.50296
1913-05-01,.,35.20710
1913-06-01,.,35.20710
1913-07-01,.,35.50296
1913-08-01,.,35.50296
1913-09-01,.,36.09467
1913-10-01,.,36.09467
1913-11-01,.,35.79882
1913-12-01,.,35.20710
1914-01-01,.,34.91124
1914-02-01,.,34.91124
1914-03-01,.,34.61538
1914-04-01,.,34.61538
1914-05-01,.,34.31953
1914-06-01,.,34.31953
1914-07-01,.,34.31953
1914-08-01,.,35.50296
1914-09-01,.,35.79882
1914-10-01,.,34.61538
1914-11-01,.,34.61538
1914-12-01,.,34.31953
1915-01-01,.,34.91124
1915-02-01,.,34.91124
1915-03-01,.,34.91124
1915-04-01,.,34.91124
1915-05-01,.,35.20710
1915-06-01,.,34.91124
1915-07-01,.,35.20710
1915-08-01,.,34.91124
1915-09-01,.,34.91124
1915-10-01,.,35.79882
1915-11-01,.,36.39053
1915-12-01,.,37.86982
1916-01-01,.,39.34911
1916-02-01,.,39.94083
1916-03-01,.,41.12426
1916-04-01,.,41.71598
1916-05-01,.,42.01183
1916-06-01,.,42.30769
1916-07-01,.,42.60355
1916-08-01,.,43.49112
1916-09-01,.,44.37870
1916-10-01,.,46.44970
1916-11-01,.,49.70414
1916-12-01,.,50.59172
1917-01-01,.,52.07101
1917-02-01,.,53.25444
1917-03-01,.,54.73373
1917-04-01,.,58.28402
1917-05-01,.,61.53846
1917-06-01,.,62.13018
1917-07-01,.,62.72189
1917-08-01,.,63.60947
1917-09-01,.,63.01775
1917-10-01,.,62.42604
1917-11-01,.,62.72189
1917-12-01,.,62.72189
1918-01-01,.,63.90533
1918-02-01,.,62.42604
1918-03-01,.,64.49704
1918-04-01,.,65.38462
1918-05-01,.,65.38462
1918-06-01,.,65.68047
1918-07-01,.,67.15976
1918-08-01,.,68.63905
1918-09-01,.,70.11834
1918-10-01,.,69.52663
1918-11-01,.,69.52663
1918-12-01,.,69.52663
1919-01-01,.,68.63905
1919-02-01,.,66.27219
1919-03-01,.,66.86391
1919-04-01,.,67.75148
1919-05-01,.,68.93491
1919-06-01,.,69.23077
1919-07-01,.,71.89349
1919-08-01,.,73.66864
1919-09-01,.,71.89349
1919-10-01,.,72.18935
1919-11-01,.,73.66864
1919-12-01,.,76.92308
1920-01-01,.,80.47337
1920-02-01,.,80.17751
1920-03-01,.,80.76923
1920-04-01,.,84.31953
1920-05-01,.,85.20710
1920-06-01,.,84.91124
1920-07-01,.,84.61538
1920-08-01,.,82.24852
1920-09-01,.,79.28994
1920-10-01,.,73.66864
1920-11-01,.,68.04734
1920-12-01,.,61.53846
1921-01-01,.,57.98817
1921-02-01,.,53.55030
1921-03-01,.,52.36686
1921-04-01,.,50.29586
1921-05-01,.,49.11243
1921-06-01,.,47.63314
1921-07-01,.,47.63314
1921-08-01,.,47.63314
1921-09-01,.,47.63314
1921-10-01,.,47.92899
1921-11-01,.,47.92899
1921-12-01,.,47.33728
1922-01-01,.,46.44970
1922-02-01,.,47.33728
1922-03-01,.,47.33728
1922-04-01,.,47.63314
1922-05-01,.,49.11243
1922-06-01,.,49.11243
1922-07-01,.,50.59172
1922-08-01,.,50.29586
1922-09-01,.,50.59172
1922-10-01,.,50.88757
1922-11-01,.,51.18343
1922-12-01,.,51.18343
1923-01-01,.,52.07101
1923-02-01,.,52.66272
1923-03-01,.,53.25444
1923-04-01,.,52.95858
1923-05-01,.,51.77515
1923-06-01,.,51.18343
1923-07-01,.,50.29586
1923-08-01,.,50.00000
1923-09-01,.,50.88757
1923-10-01,.,50.59172
1923-11-01,.,50.29586
1923-12-01,.,50.00000
1924-01-01,.,50.88757
1924-02-01,.,50.88757
1924-03-01,.,50.29586
1924-04-01,.,49.40828
1924-05-01,.,48.81657
1924-06-01,.,48.52071
1924-07-01,.,48.81657
1924-08-01,.,49.40828
1924-09-01,.,49.40828
1924-10-01,.,50.00000
1924-11-01,.,50.59172
1924-12-01,.,51.77515
1925-01-01,.,52.36686
1925-02-01,.,52.95858
1925-03-01,.,52.95858
1925-04-01,.,51.77515
1925-05-01,.,51.77515
1925-06-01,.,52.36686
1925-07-01,.,53.25444
1925-08-01,.,52.95858
1925-09-01,.,52.66272
1925-10-01,.,52.66272
1925-11-01,.,53.25444
1925-12-01,.,52.66272
1926-01-01,.,52.66272
1926-02-01,.,52.07101
1926-03-01,.,51.18343
1926-04-01,.,51.18343
1926-05-01,.,51.18343
1926-06-01,.,51.18343
1926-07-01,.,50.59172
1926-08-01,.,50.59172
1926-09-01,.,50.88757
1926-10-01,.,50.59172
1926-11-01,.,50.29586
1926-12-01,.,50.00000
1927-01-01,.,48.52071
1927-02-01,.,49.11243
1927-03-01,.,48.81657
1927-04-01,.,48.22485
1927-05-01,.,47.92899
1927-06-01,.,47.92899
1927-07-01,.,47.92899
1927-08-01,.,48.52071
1927-09-01,.,49.11243
1927-10-01,.,49.40828
1927-11-01,.,49.11243
1927-12-01,.,49.11243
1928-01-01,.,49.11243
1928-02-01,.,48.81657
1928-03-01,.,48.81657
1928-04-01,.,49.40828
1928-05-01,.,49.70414
1928-06-01,.,49.40828
1928-07-01,.,49.70414
1928-08-01,.,49.70414
1928-09-01,.,50.29586
1928-10-01,.,49.40828
1928-11-01,.,48.81657
1928-12-01,.,48.81657
1929-01-01,.,48.81657
1929-02-01,.,48.52071
1929-03-01,.,49.11243
1929-04-01,.,48.81657
1929-05-01,.,48.22485
1929-06-01,.,48.52071
1929-07-01,.,49.11243
1929-08-01,.,49.11243
1929-09-01,.,49.11243
1929-10-01,.,48.52071
1929-11-01,.,47.63314
1929-12-01,.,47.63314
1930-01-01,.,47.04142
1930-02-01,.,46.44970
1930-03-01,.,45.85799
1930-04-01,.,45.85799
1930-05-01,.,45.26627
1930-06-01,.,44.37870
1930-07-01,.,42.89941
1930-08-01,.,42.89941
1930-09-01,.,42.89941
1930-10-01,.,42.30769
1930-11-01,.,41.42012
1930-12-01,.,40.53254
1931-01-01,.,39.94083
1931-02-01,.,39.05325
1931-03-01,.,38.75740
1931-04-01,.,38.16568
1931-05-01,.,37.27811
1931-06-01,.,36.68639
1931-07-01,.,36.68639
1931-08-01,.,36.68639
1931-09-01,.,36.39053
1931-10-01,.,35.79882
1931-11-01,.,35.79882
1931-12-01,.,34.91124
1932-01-01,.,34.31953
1932-02-01,.,33.72781
1932-03-01,.,33.72781
1932-04-01,.,33.43195
1932-05-01,.,32.84024
1932-06-01,.,32.54438
1932-07-01,.,32.84024
1932-08-01,.,33.13609
1932-09-01,.,33.43195
1932-10-01,.,32.84024
1932-11-01,.,32.54438
1932-12-01,.,31.95266
1933-01-01,.,31.06509
1933-02-01,.,30.47337
1933-03-01,.,30.76923
1933-04-01,.,30.76923
1933-05-01,.,31.95266
1933-06-01,.,33.13609
1933-07-01,.,35.20710
1933-08-01,.,35.50296
1933-09-01,.,36.09467
1933-10-01,.,36.39053
1933-11-01,.,36.39053
1933-12-01,.,36.09467
1934-01-01,.,36.68639
1934-02-01,.,37.57396
1934-03-01,.,37.57396
1934-04-01,.,37.57396
1934-05-01,.,37.57396
1934-06-01,.,38.16568
1934-07-01,.,38.16568
1934-08-01,.,39.05325
1934-09-01,.,39.64497
1934-10-01,.,39.05325
1934-11-01,.,39.05325
1934-12-01,.,39.34911
1935-01-01,.,40.23669
1935-02-01,.,40.53254
1935-03-01,.,40.53254
1935-04-01,.,40.82840
1935-05-01,.,40.82840
1935-06-01,.,40.82840
1935-07-01,.,40.53254
1935-08-01,.,41.12426
1935-09-01,.,41.12426
1935-10-01,.,41.12426
1935-11-01,.,41.12426
1935-12-01,.,41.42012
1936-01-01,.,41.12426
1936-02-01,.,41.12426
1936-03-01,.,40.53254
1936-04-01,.,40.53254
1936-05-01,.,39.94083
1936-06-01,.,40.53254
1936-07-01,.,41.12426
1936-08-01,.,41.42012
1936-09-01,.,41.42012
1936-10-01,.,41.42012
1936-11-01,.,42.01183
1936-12-01,.,42.89941
1937-01-01,.,43.78698
1937-02-01,.,44.08284
1937-03-01,.,44.67456
1937-04-01,.,44.97041
1937-05-01,.,44.67456
1937-06-01,.,44.37870
1937-07-01,.,44.97041
1937-08-01,.,44.67456
1937-09-01,.,44.67456
1937-10-01,.,43.49112
1937-11-01,.,42.60355
1937-12-01,.,41.71598
1938-01-01,.,41.42012
1938-02-01,.,40.82840
1938-03-01,.,40.53254
1938-04-01,.,39.94083
1938-05-01,.,39.94083
1938-06-01,.,39.94083
1938-07-01,.,40.23669
1938-08-01,.,39.64497
1938-09-01,.,39.94083
1938-10-01,.,39.64497
1938-11-01,.,39.64497
1938-12-01,.,39.34911
1939-01-01,.,39.34911
1939-02-01,.,39.34911
1939-03-01,.,39.05325
1939-04-01,.,38.75740
1939-05-01,.,38.75740
1939-06-01,.,38.46154
1939-07-01,.,38.46154
1939-08-01,.,38.16568
1939-09-01,.,40.23669
1939-10-01,.,40.53254
1939-11-01,.,40.23669
1939-12-01,.,40.53254
1940-01-01,.,40.53254
1940-02-01,.,40.23669
1940-03-01,.,39.94083
1940-04-01,.,39.94083
1940-05-01,.,39.94083
1940-06-01,.,39.64497
1940-07-01,.,39.64497
1940-08-01,.,39.64497
1940-09-01,.,39.64497
1940-10-01,.,40.23669
1940-11-01,.,40.53254
1940-12-01,.,40.82840
1941-01-01,.,41.12426
1941-02-01,.,41.12426
1941-03-01,.,41.42012
1941-04-01,.,42.60355
1941-05-01,.,43.19527
1941-06-01,.,44.37870
1941-07-01,.,45.26627
1941-08-01,.,46.15385
1941-09-01,.,46.74556
1941-10-01,.,47.04142
1941-11-01,.,47.04142
1941-12-01,.,47.92899
1942-01-01,.,48.81657
1942-02-01,.,49.40828
1942-03-01,.,49.70414
1942-04-01,.,50.29586
1942-05-01,.,50.29586
1942-06-01,.,50.29586
1942-07-01,.,50.29586
1942-08-01,.,50.59172
1942-09-01,.,50.88757
1942-10-01,.,50.88757
1942-11-01,.,51.18343
1942-12-01,.,51.47929
1943-01-01,.,51.77515
1943-02-01,.,52.36686
1943-03-01,.,52.66272
1943-04-01,.,52.95858
1943-05-01,.,52.95858
1943-06-01,.,52.95858
1943-07-01,.,52.66272
1943-08-01,.,52.66272
1943-09-01,.,52.66272
1943-10-01,.,52.66272
1943-11-01,.,52.36686
1943-12-01,.,52.66272
1944-01-01,.,52.66272
1944-02-01,.,52.66272
1944-03-01,.,52.95858
1944-04-01,.,52.95858
1944-05-01,.,52.95858
1944-06-01,.,53.25444
1944-07-01,.,52.95858
1944-08-01,.,52.95858
1944-09-01,.,52.95858
1944-10-01,.,52.95858
1944-11-01,.,53.25444
1944-12-01,.,53.25444
1945-01-01,.,53.55030
1945-02-01,.,53.55030
1945-03-01,.,53.55030
1945-04-01,.,53.84615
1945-05-01,.,54.14201
1945-06-01,.,54.14201
1945-07-01,.,54.14201
1945-08-01,.,53.84615
1945-09-01,.,53.55030
1945-10-01,.,53.84615
1945-11-01,.,54.43787
1945-12-01,.,54.43787
1946-01-01,.,54.43787
1946-02-01,.,54.73373
1946-03-01,.,55.62130
1946-04-01,.,56.21302
1946-05-01,.,56.50888
1946-06-01,.,57.39645
1946-07-01,.,63.60947
1946-08-01,.,65.68047
1946-09-01,.,63.31361
1946-10-01,.,68.34320
1946-11-01,.,71.30178
1946-12-01,.,71.89349
1947-01-01,.,72.48521
1947-02-01,.,73.07692
1947-03-01,.,74.85207
1947-04-01,.,74.26036
1947-05-01,.,73.96450
1947-06-01,.,73.96450
1947-07-01,.,74.85207
1947-08-01,.,75.73964
1947-09-01,.,77.21893
1947-10-01,.,78.10651
1947-11-01,.,78.99408
1947-12-01,.,80.47337
1948-01-01,.,81.95266
1948-02-01,.,80.47337
1948-03-01,.,80.47337
1948-04-01,.,81.06509
1948-05-01,.,81.36095
1948-06-01,.,81.95266
1948-07-01,.,82.84024
1948-08-01,.,83.43195
1948-09-01,.,83.13609
1948-10-01,.,82.24852
1948-11-01,.,82.24852
1948-12-01,.,81.65680
1949-01-01,.,80.76923
1949-02-01,.,79.28994
1949-03-01,.,79.28994
1949-04-01,.,78.40237
1949-05-01,.,77.81065
1949-06-01,.,76.92308
1949-07-01,.,76.92308
1949-08-01,.,76.92308
1949-09-01,.,77.21893
1949-10-01,.,76.92308
1949-11-01,.,76.92308
1949-12-01,.,76.62722
1950-01-01,.,76.62722
1950-02-01,.,77.21893
1950-03-01,.,77.21893
1950-04-01,.,77.21893
1950-05-01,.,78.10651
1950-06-01,.,78.69822
1950-07-01,.,80.76923
1950-08-01,.,82.54438
1950-09-01,.,84.02367
1950-10-01,.,84.61538
1950-11-01,.,85.79882
1950-12-01,.,87.86982
1951-01-01,.,90.23669
1951-02-01,.,91.42012
1951-03-01,.,91.42012
1951-04-01,.,91.12426
1951-05-01,.,90.82840
1951-06-01,.,90.23669
1951-07-01,.,89.64497
1951-08-01,.,89.05325
1951-09-01,.,89.05325
1951-10-01,.,89.05325
1951-11-01,.,89.05325
1951-12-01,.,89.05325
1952-01-01,.,88.75740
1952-02-01,.,88.16568
1952-03-01,.,88.16568
1952-04-01,.,87.57396
1952-05-01,.,87.57396
1952-06-01,.,87.27811
1952-07-01,.,87.57396
1952-08-01,.,88.16568
1952-09-01,.,87.57396
1952-10-01,.,87.27811
1952-11-01,.,86.68639
1952-12-01,.,86.09467
1953-01-01,.,86.09467
1953-02-01,.,86.09467
1953-03-01,.,86.39053
1953-04-01,.,85.79882
1953-05-01,.,86.09467
1953-06-01,.,85.79882
1953-07-01,.,86.98225
1953-08-01,.,86.68639
1953-09-01,.,86.98225
1953-10-01,.,86.39053
1953-11-01,.,86.09467
1953-12-01,.,86.39053
1954-01-01,.,86.98225
1954-02-01,.,86.68639
1954-03-01,.,86.68639
1954-04-01,.,86.98225
1954-05-01,.,86.98225
1954-06-01,.,86.39053
1954-07-01,.,86.68639
1954-08-01,.,86.68639
1954-09-01,.,86.39053
1954-10-01,.,86.09467
1954-11-01,.,86.39053
1954-12-01,.,85.79882
1955-01-01,.,86.39053
1955-02-01,.,86.68639
1955-03-01,.,86.39053
1955-04-01,.,86.68639
1955-05-01,.,86.09467
1955-06-01,.,86.68639
1955-07-01,.,86.68639
1955-08-01,.,86.98225
1955-09-01,.,87.57396
1955-10-01,.,87.57396
1955-11-01,.,87.27811
1955-12-01,.,87.27811
1956-01-01,.,87.86982
1956-02-01,.,88.16568
1956-03-01,.,88.46154
1956-04-01,.,89.05325
1956-05-01,.,89.64497
1956-06-01,.,89.64497
1956-07-01,.,89.34911
1956-08-01,.,89.94083
1956-09-01,.,90.53254
1956-10-01,.,90.53254
1956-11-01,.,90.82840
1956-12-01,.,91.12426
1957-01-01,.,91.71598
1957-02-01,.,91.71598
1957-03-01,.,91.71598
1957-04-01,.,92.01183
1957-05-01,.,91.71598
1957-06-01,.,92.01183
1957-07-01,.,92.60355
1957-08-01,.,92.89941
1957-09-01,.,92.60355
1957-10-01,.,92.30769
1957-11-01,.,92.60355
1957-12-01,.,92.89941
1958-01-01,.,93.19527
1958-02-01,.,93.19527
1958-03-01,.,93.78698
1958-04-01,.,93.49112
1958-05-01,.,93.78698
1958-06-01,.,93.49112
1958-07-01,.,93.49112
1958-08-01,.,93.49112
1958-09-01,.,93.49112
1958-10-01,.,93.19527
1958-11-01,.,93.49112
1958-12-01,.,93.49112
1959-01-01,.,93.78698
1959-02-01,.,93.78698
1959-03-01,.,93.78698
1959-04-01,.,94.08284
1959-05-01,.,94.08284
1959-06-01,.,93.78698
1959-07-01,.,93.78698
1959-08-01,.,93.49112
1959-09-01,.,93.78698
1959-10-01,.,93.49112
1959-11-01,.,93.19527
1959-12-01,.,93.19527
1960-01-01,.,93.49112
1960-02-01,.,93.49112
1960-03-01,.,94.08284
1960-04-01,.,94.08284
1960-05-01,.,93.78698
1960-06-01,.,93.78698
1960-07-01,.,93.78698
1960-08-01,.,93.49112
1960-09-01,.,93.49112
1960-10-01,.,93.78698
1960-11-01,.,93.78698
1960-12-01,.,93.78698
1961-01-01,.,94.08284
1961-02-01,.,94.08284
1961-03-01,.,94.08284
1961-04-01,.,93.49112
1961-05-01,.,93.19527
1961-06-01,.,92.60355
1961-07-01,.,93.19527
1961-08-01,.,93.19527
1961-09-01,.,93.19527
1961-10-01,.,93.19527
1961-11-01,.,93.19527
1961-12-01,.,93.49112
1962-01-01,.,93.78698
1962-02-01,.,93.78698
1962-03-01,.,93.78698
1962-04-01,.,93.49112
1962-05-01,.,93.19527
1962-06-01,.,93.19527
1962-07-01,.,93.49112
1962-08-01,.,93.49112
1962-09-01,.,94.37870
1962-10-01,.,93.78698
1962-11-01,.,93.78698
1962-12-01,.,93.49112
1963-01-01,.,93.49112
1963-02-01,.,93.19527
1963-03-01,.,93.19527
1963-04-01,.,92.89941
1963-05-01,.,93.19527
1963-06-01,.,93.49112
1963-07-01,.,93.78698
1963-08-01,.,93.49112
1963-09-01,.,93.49112
1963-10-01,.,93.49112
1963-11-01,.,93.78698
1963-12-01,.,93.49112
1964-01-01,.,94.08284
1964-02-01,.,93.49112
1964-03-01,.,93.49112
1964-04-01,.,93.49112
1964-05-01,.,93.19527
1964-06-01,.,93.19527
1964-07-01,.,93.49112
1964-08-01,.,93.49112
1964-09-01,.,93.78698
1964-10-01,.,93.78698
1964-11-01,.,93.78698
1964-12-01,.,93.78698
1965-01-01,.,94.08284
1965-02-01,.,94.37870
1965-03-01,.,94.37870
1965-04-01,.,94.67456
1965-05-01,.,94.97041
1965-06-01,.,95.85799
1965-07-01,.,95.85799
1965-08-01,.,95.85799
1965-09-01,.,95.85799
1965-10-01,.,96.15385
1965-11-01,.,96.44970
1965-12-01,.,97.04142
1966-01-01,.,97.33728
1966-02-01,.,98.22485
1966-03-01,.,98.22485
1966-04-01,.,98.22485
1966-05-01,.,98.22485
1966-06-01,.,98.52071
1966-07-01,.,99.11243
1966-08-01,.,99.40828
1966-09-01,.,99.40828
1966-10-01,.,98.81657
1966-11-01,.,98.52071
1966-12-01,.,98.52071
1967-01-01,.,98.81657
1967-02-01,.,98.81657
1967-03-01,.,98.52071
1967-04-01,.,97.92899
1967-05-01,.,98.52071
1967-06-01,.,99.11243
1967-07-01,.,99.11243
1967-08-01,.,98.81657
1967-09-01,.,98.81657
1967-10-01,.,98.81657
1967-11-01,.,98.81657
1967-12-01,.,99.70414
1968-01-01,100.00000,100.00000
1968-02-01,100.60129,100.59172
1968-03-01,113.42611,100.88757
1968-04-01,113.80028,100.88757
1968-05-01,111.94964,101.18343
1968-06-01,124.47268,101.18343
1968-07-01,130.15491,101.47929
1968-08-01,135.45440,101.18343
1968-09-01,135.49932,101.77515
1968-10-01,141.91647,101.77515
1968-11-01,147.85305,102.07101
1968-12-01,156.25862,102.36686
1969-01-01,157.34982,102.95858
1969-02-01,157.45276,103.55030
1969-03-01,167.72702,104.14201
1969-04-01,178.14534,104.43787
1969-05-01,185.67612,105.02959
1969-06-01,174.59498,105.62130
1969-07-01,174.95925,105.91716
1969-08-01,175.65692,105.62130
1969-09-01,187.15822,105.91716
1969-10-01,179.63735,106.21302
1969-11-01,176.27698,106.80473
1969-12-01,175.31236,107.39645
1970-01-01,180.52083,107.98817
1970-02-01,193.15647,108.57988
1970-03-01,191.49404,108.57988
1970-04-01,186.69489,108.87574
1970-05-01,190.25189,108.87574
1970-06-01,195.84466,109.17160
1970-07-01,191.89875,109.76331
1970-08-01,194.82867,109.17160
1970-09-01,193.90834,109.76331
1970-10-01,193.26141,109.76331
1970-11-01,200.65440,109.76331
1970-12-01,201.06683,109.76331
1971-01-01,192.08995,110.35503
1971-02-01,173.32546,111.53846
1971-03-01,150.65218,111.83432
1971-04-01,145.30265,112.13018
1971-05-01,138.56713,112.72189
1971-06-01,143.46657,113.01775
1971-07-01,141.43594,113.31361
1971-08-01,134.55114,113.90533
1971-09-01,127.94532,113.31361
1971-10-01,119.84510,113.31361
1971-11-01,108.25039,113.31361
1971-12-01,100.69546,114.20118
1972-01-01,102.09262,114.79290
1972-02-01,105.19302,115.97633
1972-03-01,111.11913,115.97633
1972-04-01,108.75011,116.27219
1972-05-01,105.80532,116.86391
1972-06-01,95.52910,117.45562
1972-07-01,94.94723,118.34320
1972-08-01,92.17572,118.63905
1972-09-01,85.56531,118.93491
1972-10-01,91.21763,118.63905
1972-11-01,89.50329,119.23077
1972-12-01,86.19761,121.59763
1973-01-01,77.84531,123.07692
1973-02-01,78.89519,125.44379
1973-03-01,80.21593,128.40237
1973-04-01,83.01803,128.99408
