U n e m p l o y m e n t   U N R A T E,R e a l   G D P   G D P C 1,I n f l a t i o n   C O R E S T I C K M 1 5 9 S F R B A T L,1 0 - 3   Y i e l d   C u r v e   T 1 0 Y 3 M
5.2,,4.742747969,0.2
,,,0.19
,,,0.22
,,,0.22
,,,0.26
,,,0.24
,,,0.34
,,,0.33
,,,0.38
,,,0.31
,,,0.28
,,,0.3
,,,0.23
,,,0.1
,,,0.06
,,,-0.04
,,,0.03
,,,-0.04
,,,-0.18
,,,-0.16
,,,
,,,-0.24
,,,-0.32
5.3,,4.74510822,-0.31
,,,-0.22
,,,-0.18
,,,-0.09
,,,-0.16
,,,-0.13
,,,-0.35
,,,-0.3
,,,-0.2
,,,-0.21
,,,-0.04
,,,-0.07
,,,-0.05
,,,-0.13
,,,-0.05
,,,-0.06
,,,-0.08
,,,-0.2
,,,-0.22
,,,-0.15
,,,-0.1
,,,-0.16
5.2,9919.228,4.893807623,
,,,-0.14
,,,
,,,0.06
,,,0.05
,,,0.04
,,,-0.01
,,,-0.03
,,,0.01
,,,-0.03
,,,-0.06
,,,-0.13
,,,-0.05
,,,-0.11
,,,-0.23
,,,-0.32
,,,-0.32
,,,-0.3
,,,-0.28
,,,-0.25
,,,-0.25
,,,-0.22
5.2,,4.854148787,-0.15
,,,-0.13
,,,-0.1
,,,-0.13
,,,-0.18
,,,-0.22
,,,-0.13
,,,-0.11
,,,-0.13
,,,-0.08
,,,-0.1
,,,-0.1
,,,0.03
,,,0.02
,,,0.0
,,,-0.04
,,,-0.03
,,,-0.04
,,,-0.02
,,,0.01
,,,0.1
,,,0.11
,,,0.1
5.3,,4.669891213,0.07
,,,
,,,0.04
,,,0.08
,,,0.1
,,,0.1
,,,0.18
,,,0.25
,,,0.33
,,,0.3
,,,0.31
,,,0.23
,,,0.17
,,,0.07
,,,0.1
,,,0.2
,,,0.23
,,,0.27
,,,0.2
,,,0.16
,,,0.13
5.3,9938.767,4.802933382,
,,,0.11
,,,0.18
,,,0.17
,,,0.12
,,,0.2
,,,
,,,0.14
,,,0.11
,,,0.08
,,,0.0
,,,0.28
,,,0.32
,,,0.26
,,,0.13
,,,0.18
,,,0.09
,,,0.12
,,,0.05
,,,0.02
,,,-0.08
,,,-0.09
,,,-0.12
5.4,,4.797568826,-0.14
,,,-0.12
,,,-0.14
,,,-0.13
,,,-0.1
,,,-0.07
,,,-0.06
,,,-0.05
,,,-0.06
,,,-0.05
,,,-0.08
